Forrest Gump,50,1,titleasc
The Sixth Sense,50,1,titleasc
Bruce Almighty,50,1,titleasc
Being Human,50,1,titleasc
Batman Begins,50,1,titleasc
Million Dollar Baby,50,1,titleasc
The Two Towers,50,1,titleasc
Live and Let Die,50,1,titleasc
The Lord of the Rings,50,1,titleasc
Shall We Dance,50,1,titleasc
The Spy Who Loved Me,50,1,titleasc
Notting Hill,50,1,titleasc
Ghost World,50,1,titleasc
The Usual Suspects,50,1,titleasc
Vampire Effect,50,1,titleasc
Batman Begins,50,1,titleasc
The Lost Boys,50,1,titleasc
Ghost World,50,1,titleasc
American History X,50,1,titleasc
Seven,50,1,titleasc
Alexander,50,1,titleasc
Sleepy Hollow,50,1,titleasc
Rush Hour 2,50,1,titleasc
Walk in the Clouds,50,1,titleasc
Swimming Upstream,50,1,titleasc
Dr. No,50,1,titleasc
Ocean Twelve,50,1,titleasc
the Last Crusade,50,1,titleasc
License To Kill,50,1,titleasc
Terminator 2,50,1,titleasc
Lemony Snicket,50,1,titleasc
Stepmom,50,1,titleasc
The Lost Boys,50,1,titleasc
The Life Aquatic,50,1,titleasc
The Machinist,50,1,titleasc
The Merchant of Venice,50,1,titleasc
50 First Dates,50,1,titleasc
Home Alone 2,50,1,titleasc
Amelie,50,1,titleasc
8 Mile,50,1,titleasc
Racing Stripes,50,1,titleasc
Oceans Twelve,50,1,titleasc
Dumb and Dumber,50,1,titleasc
The Princess Bride,50,1,titleasc
The Two Towers,50,1,titleasc
GoldenEye,50,1,titleasc
Training Day,50,1,titleasc
Hotel Rwanda,50,1,titleasc
Saving Private Ryan,50,1,titleasc
Philadelphia,50,1,titleasc
Spider Man 2,50,1,titleasc
Charlie and the Chocolate Factory,50,1,titleasc
Bicentennial Man,50,1,titleasc
For Your Eyes Only,50,1,titleasc
Proof of Life,50,1,titleasc
City Light,50,1,titleasc
License To Kill,50,1,titleasc
Bowling for Columbine,50,1,titleasc
Son Of The Mask,50,1,titleasc
8 Mile,50,1,titleasc
Kingdom Of Heaven,50,1,titleasc
The Hunted,50,1,titleasc
Godsend,50,1,titleasc
Alexander,50,1,titleasc
Spider Man 2,50,1,titleasc
Star Wars,50,1,titleasc
Anna and the King,50,1,titleasc
You Only Live Twice,50,1,titleasc
Sleepy Hollow,50,1,titleasc
Alexander,50,1,titleasc
Love the Hard Way,50,1,titleasc
Alien,50,1,titleasc
Hide and Seek,50,1,titleasc
The Matrix Revolutions,50,1,titleasc
Seven,50,1,titleasc
The Fifth Element,50,1,titleasc
The Machinist,50,1,titleasc
I Heart Huckabees,50,1,titleasc
Intolerable Cruelty,50,1,titleasc
Unleashed,50,1,titleasc
Jurassic Park,50,1,titleasc
American Beauty,50,1,titleasc
Dumb and Dumber,50,1,titleasc
The Polar Express,50,1,titleasc
Alien3,50,1,titleasc
Million Dollar Baby,50,1,titleasc
Bride and Prejudice,50,1,titleasc
Rush Hour 2,50,1,titleasc
The Mask,50,1,titleasc
Eternal Sunshine of the Spotless Mind,50,1,titleasc
50 First Dates,50,1,titleasc
Rush Hour 2,50,1,titleasc
A Clockwork Orange,50,1,titleasc
Almost Famous,50,1,titleasc
Spider Man 2,50,1,titleasc
Any Given Sunday,50,1,titleasc
In Good Company,50,1,titleasc
Indiana Jones,50,1,titleasc
3000 Miles to Graceland,50,1,titleasc
The World is Not Enough,50,1,titleasc
Being Human,50,1,titleasc
Ride With the Devil,50,1,titleasc
Men In Black,50,1,titleasc
Monty Python and the Holy Grail,50,1,titleasc
Alien,50,1,titleasc
Oceans Twelve,50,1,titleasc
Thunderball,50,1,titleasc
Million Dollar Baby,50,1,titleasc
Hellboy,50,1,titleasc
GoldenEye,50,1,titleasc
Episode I,50,1,titleasc
Independence Day,50,1,titleasc
24 Hour Party People,50,1,titleasc
Courage Under Fire,50,1,titleasc
The Mummy,50,1,titleasc
Oceans Eleven,50,1,titleasc
National Treasure,50,1,titleasc
Lord of the Rings,50,1,titleasc
The Two Towers,50,1,titleasc
Bone Collector,50,1,titleasc
The Fast and the Furious,50,1,titleasc
The Hunted,50,1,titleasc
Assault on Precinct 13,50,1,titleasc
Hero,50,1,titleasc
Mystic River,50,1,titleasc
The Lord of the Rings,50,1,titleasc
The Far Side of the World,50,1,titleasc
Charlie and the Chocolate Factory,50,1,titleasc
In Good Company,50,1,titleasc
Shall We Dance,50,1,titleasc
Dogma,50,1,titleasc
From Russia with Love,50,1,titleasc
External Sunshine of the Spotless Mind,50,1,titleasc
Revenge of the Sith,50,1,titleasc
Man on Fire,50,1,titleasc
Traffic,50,1,titleasc
Oceans Twelve,50,1,titleasc
Die Another Day,50,1,titleasc
Thunderball,50,1,titleasc
Oceans Eleven,50,1,titleasc
Braveheart,50,1,titleasc
Diamonds are Forever,50,1,titleasc
The Two Towers,50,1,titleasc
Diamonds are Forever,50,1,titleasc
The Phantom of the Opera,50,1,titleasc
The Living Daylights,50,1,titleasc
Bicentennial Man,50,1,titleasc
Kingdom of Heaven,50,1,titleasc
Notting Hill,50,1,titleasc
The Princess Bride,50,1,titleasc
Lost in New York,50,1,titleasc
Alien,50,1,titleasc
Eyes Wide Shut,50,1,titleasc
Coach Carter,50,1,titleasc
Intolerable Cruelty,50,1,titleasc
Ray,50,1,titleasc
Gone with the Wind,50,1,titleasc
Notting Hill,50,1,titleasc
